Review,Class
"মাস্টার পাসওয়ার্ড বইটিতে খুবই সুন্দর ভাবে সফল হবার কৌশলগুলো বর্ণনা করা আছে। বইটি পরে খুবই ভাল লেগেছে। জনাব, গাজী ইয়ার মোহাম্মদ এবং জনাব এম মোর্শেদ হায়দার সাহেবকে অসংখ্য ধন্যবাদ এমন সুন্দর একটা বই উপহার দেয়ার জন্য।",1
এটি অমর একুশে গ্রন্থমেলা 2018-এর একটি বেস্ট সেলার বই।,1
"সেই ধনী পুরুষের মতো হতভাগা আর কেউ নেই যে প্রাসাদে থাকে অথচ তার ঘরে কোন বই নেই। এই সম্পর্কে জন মিল্টন বলেছেন, ‘বইয়ের যে একটা মুখরোচক স্বাদ আছে, সেই স্বাদ থেকেই সে বঞ্চিত।’ এই বই এমনই একটি বই যা পাঠ করে আপনি অতুলনীয় তৃপ্তি লাভ করবেন।",1
"একজন পর্যবেক্ষণশীল পুরুষকে আপনার বইয়ের তাক দেখান, সে বলে দিবে আপনি কেমন। আর যে লোকের জীবনে কোন শ্রেষ্ঠ বই নেই, ভালোবাসে এমন কিছু বই নেই তার সাথে সময় ব্যয় করাটা নিজের সময়ের অপচয়। পর্যবেক্ষণ নামক এই বইটি হতে পারে আপনার জীবনের শ্রেষ্ঠ একটি বই।",1
"বইটি পড়ে অনেক অনুপ্রানিত হয়েছি ,নতুনদের জন্য গাইডলাইন হবে বইটি",1
"২০১৫তে রকমারির বেস্ট সেলার লিস্টে বইটি ১ নম্বরে ছিল দেখেই কিনলাম। অসাধারণ এক বই। এই বই যদি আগামী ২০ বছরও রকমারির বেস্ট সেলার লিস্টে থাকে তবে আমি অবাক হব না। বেস্ট সেলার লিস্টের ২ ও ৩ নং বই দুটিও অত্যন্ত ভালো। বই দুটি হচ্ছে রাগিব হাসানের ১. গবেষণায় হাতেখড়ি ২. মন প্রকৌশল স্বপ্ন অনুপ্রেরণা আর জীবন গড়ার ফরমুলা। চমক, রাগিব স্যারদের কাছ থেকে এরকম আরো বই প্রত্যাশা করি।",1
মজা করে গনিত শেখার জন্য এই বইটি এককথায় অসাধরন ।,1
বইটা খুবই ভালো লাগে।,1
নাইস,1
What a Book Boss.... Just sexy Book..দুবার অলরেডি পড়া শেষ। যতবার পড়ি ততবার মুগ্ধ হই। অলরেডি ৯ টা বন্ধু এবং বড় ভাইরে গিফ্ট করছি। মোটামুটি ফকির হয়ে গেছে।তারপরেও আফসোস নেই।ভাল বইয়ের জন্য হাজার টাকা খরচ কোন বিষয় না।,1
অসম্ভব ভালো একটা বই,1
গণিতের ভয় কাটানোর জন্য ত্যেকেরই বইটা পড়া উচিত।।চমক ভাইয়ার চমৎকার বই।,1
এই বই সম্পর্কে কিছুই বলার নেই। কারণ লেখক চমক হাসান ভাই নিজেই একজন অসাধারণ ব্যাক্তি উনার বইয়ের তুলনা হয় না।এই বইয়ে গল্পের মাধ্যেমে তিনি অনেক বেসিক জিনিস নিয়ে আলোচনা এবং বিস্তারিত লিখেছেন।,1
অসাধারন একটি বই । বেশ মজার সাথে পড়ছি মাঝে মাঝে হাসি পাচ্ছে তবে অনেক কিছু শিখতে পারছি অনেক সহজভাবে যা আগে পারি নাই। বেসিকের জন্যএর চেয়ে ভালো বই আর হয় না।,1
বেসিক কনছেপ্ট এর জন্য অন্যরকম একটা বই ।,1
"অসাধারণ। মজা করেও যে প্রোগ্রামিং শেখা যায়,সেটা প্রমাণিত। অনেক জটিল শব্দের সহজ উদাহরণ। না বুঝে আর কোনো উপায় নেই। আরো চাই। চাই চাই আরো চাই।",1
আমার বন্ধু রাশেদ আমার প্রিয় বইগুলোর একটি এবং এই বইটি আমি কতবার পড়েছি তা আমি নিজেও জানি না।,1
"আসলে বইটা খুবই মনে ধরার মত। কেউ এ বইয়ের অবলম্বনে বানানো সিনেমা দেখে বইটিকে জাজ করতে পারবেন না। কারন সিনেমাটা খুবই সাদামাটা করে বানানো হয়েছে, অথচ বইটি এতই ভালো যে একবার পড়লে হবে না, বার বার পড়তে মন চাইবে।",1
"কিশোরদের জন্য জাফর ইকবাল স্যারের লেখা শ্রেষ্ঠ উপন্যাসগুলোর একটি হচ্ছে ""আমার বন্ধু রাশেদ""। একজন কিশোরের চোখে ৭১ এর মুক্তিযুদ্ধ কেমন ছিল তার সুন্দর একটি বাস্তবায়ন এই বইটিতে দেখা যায়। মুক্তিযুদ্ধের মত national crisis কিভাবে একজন কিশোরকে মানসিকভাবে mature করে তোলে এবং কিভাবে তা তাদের চিন্তাভাবনা ও কার্যকলাপকে প্রভাবিত করে তা খুব সুন্দরভাবে ফুটিয়ে তোলা হয়েছে এই বইটিতে। দেশপ্রেম ও সাহস যখন এক কেন্দ্রে এসে মিলিত হয়, তখন বয়স যতই হোক না কেন, একজন মানুষকে সহজে দমিয়ে রাখা সম্ভব নয়। বইটির শেষ মূহুর্তে এস যে করুণ সমাপ্তি দেখা যায়, তা নিশ্চিতভাবেই প্রতিটি পাঠকের চোখে জল এনে দিবে। বইটি আমার পড়া মুক্তিযুদ্ধভিত্তিক শ্রেষ্ট কিশোর উপন্যাস।",1
অামার দেখা আরেকটি সেরা বই,1
"খুবি ভালো লেগেছে। বইটিকে বিশুদ্ধ ইতিহাসের গ্রন্থ, ভ্রমণ কাহিনী গ্রন্থ, বা এডভেঞ্চার গ্রন্থ ও বলতে পারেন । অনুবাদ অনেক ভালো ।",1
বইটি আমি পড়েছি অনেক অনেক ভালো লেগেছে।,1
এই বইটার কাহিনী খুব সুন্দর । আমি সহ আমার পরিবারের সবাই বইটি পরেছি ।,1
পাঁচ এ পাঁচ। আর কিছু বলার নেই!!,1
আমার পড়া সেরা উপন্যাস এটি।যতবার পড়ি ততবার ই পড়তে মন চায়।কত বার যে পড়েছি তার কোন ইয়ত্তা নাই,1
"অনেক ভালো লাগেছে, জাফর ইকবাল একজন অসাধারণ লিখক",1
অনেক ভাল লাগল,1
অসাধারণ একটি কিশোর উপন্যাস। বেশ ভালো।,1
বেশ ভালো।,1
শুরুটা একদম সাদামাটা ছিল যা ছিল চমৎকার...পরের সব ঘটনার বর্ণনাও ছিল দারুন তাই আমার কাছে ৫ তারকা পাওয়ার মতো,1
স্যারের সবগুলো বইই অসাধারণ।এই বইটিও তার ব্যাতিক্রম নয়।বইটি খুব ভালো লেগেছে।যারা পড়বেন আশা করি তাদেরও ভালো লাগবে।,1
আমার ভ্রমণ বিষয়ক পড়া বই সমূহের মধ্যে চমৎকার একটি বই হলো মিরআতুল মামালিক । যেমন চাঞ্চল্যকর তেমনি উত্তেজনাকর পাশাপাশি ভয়ংকরও । এক কথায় সবই পেয়েছিলাম বইটিতে ।,1
খুবই মজার একটা বই,1
পড়ে ভালো লাগলো,1
আমার কাছে বেসিক আলি ৭-১০ আছে। তবে এটাই আমার পড়া সবচেয়ে ভালো মজার কমিক।,1
"সাকিব আল হাসান যেমন ভালো খেলেন, তেমনি ভালো লেখেন তার প্রমান স্বরুপ হালুম, অসাধারণ ভালো একটি বই।",1
চমৎকার বই.....................,1
অসাধারন :),1
অসাধারন বই।হাসতে হাসতে পেট ফেটে যায়।,1
উপন্যাসটির শুরু এবং শেষটা ছিল এক কথায় অসাধারণ! তবে এর মাঝখানের কাহিনী ভিন্ন। কাহিনীর মাঝ পর্যায়ে অনেকবার মনে হয়েছে এটাকে টেনেটুনে বড় করা হচ্ছে। জাফর স্যার অত্যন্ত সুন্দরভাবে গ্রামীণ জীবন এবং মানুষের আচার আচরণ ফুটিয়ে তুলতে সক্ষম হয়েছেন। আমরা যারা গ্রামীণ পরিবেশে বড় হয়েছি এর সাথে রিলেট করতে পারবো। এর বেশ কয়টি ঘটনা আমাদের নস্টালজিক করে ফেলবে। যাইহোক বইটি পড়ার জন্য রিকোমেন্ড করবো। সহজ সরল উপন্যাস,1
"অসম্ভব ভাল লাগল উপন্যাসটি পড়ে। রাশা তার জীবনে সর্বোচ্চ কষ্টদায়ক মুহূর্তে কীভাবে বেচে ছিল,কীভাবে নতুন করে সব শুরু করল তা প্রতিটা কিশোর কিংবা কিশোরীর জানা উচিত।",1
"এই পর্যন্ত আমার পড়া জাফর ইকবাল এর শ্রেষ্ঠ বই!!! একবার একটু কষ্ট করেই পড়ে দেখুন, আপনাকে এই আশশস্ত-ই দিতে চাই যে আপনি নিরাশ হবেন নাহ!",1
তুর্কি খিলাফাতের সময় মুসলিম নৌশক্তির ব্যাপক প্রসার ঘটে। একটি রাজ্য পরিচালনা করেতে যেয়ে বিবিধ কর্মকান্ড করতে হয়। যারা কর্মকান্ড করেন তারা রেখে যান বিশাল ইতিহাস। মিরাতুল মামালিক : দ্য অ্যাডমিরাল ' বইটি ও তেমনি এক সাহসী সৈনিকের সমুদ্র অভিযানের ঘটনা। বইটি পড়ে বেশ ভালো লাগবে ।,1
"তেরো বয়সের মেয়ে টুম্পা । থাকে মা আর সৎ বাবার সাথে আমেরিকায় । বাংলাদেশের বৃষ্টিতে তার ভেজার শখ । কিন্তু তার বাবা মা কিছুতেই তাকে বাংলাদেশে পাঠাবে না । শেষ পর্যন্ত টুম্পা তার বাবা মাকে রাজি করাতে পারে । চলে আসে সবুজের দেশ, বৃষ্টির দেশ বাংলাদেশে । দেশে এসে টুম্পা তার আপন বাবা সম্পর্কে ভয়ানক সত্য কথা জানে । তার বাবা স্কিৎজোফ্রেনিয়া রোগী । এটা এমন একটা রোগ যেখানে রোগী অবাস্তব একটা জিনিষ নিয়ে ভয় পায় । যে জিনিষটা নিয়ে ভয় পায় সেটা অবাস্তব হতে পারে কিন্তু ভয়টা পুরোপুরি বাস্তব । একটি প্রায় অন্ধকার ঘরে নিজেকে আটকে রাখে টুম্পার বাবা । সবাইকে সন্দেহ করে । টুম্পা তার বাবাকে বোঝাতে চেষ্টা করে যে এটা তার ভয়ংকর একটা অসুখ তাকে এই অসুখ নিয়েই বাঁচা শিখতে হবে । একসময় টুম্পা তার বাবাকে নিয়ে বাইরে বের হয় । তখনই ছিনতাইকারীরা এসে তাদের সব কিছু নিয়ে যায় । টুম্পার বাবা আরও অসুস্থ হয়ে পড়ে । টুম্পার বাবার ডাক্তার এজন্য টুম্পাকে দায়ী করে । টুম্পা অনেকটা বাবার উপর অভিমান করে বাংলাদেশ ছেড়ে যাওয়ার সিদ্ধান্ত নেয় । এভাবেই কাহিনী এগিয়ে যেতে থাকে । সবশেষে বলা যায় মুহম্মদ জাফর ইকবালের লেখা সব বইয়ের মধ্যে বৃষ্টির ঠিকানা বইটি শ্রেষ্ঠ ।",1
"বইটি আমার অসাধারণ লেগেছে । যারা বই এর পোকা তারা বইটি পরে দেখবেন , আশাকরি টাকা এবং সময় জলে যাবে না ।",1
জাফর ইকবাল স্যারের সেরা কিশোর উপন্যাসগুলোর মধ্যে একটি।,1
বইটা কিশোর উপন্যাস এবং সায়েন্স ফিকসান এর জগাখিচুড়ি কিন্তু বইটা অত্যাধিক ভালো।,1
"জাফর সাহেব যদি জীবনে কোন ভালো কাজ করে থাকেন তাহলে, এই বইটা লিখেছেন :) আমার অনেক স্মৃতি আছে বইটি নিয়ে...স্কুল থেকে প্রাইজ পেয়েছিলাম এটুকুই শেয়ার করলাম ; ) এইটা বইটার জন্য আমি একসময় ওনার ভক্ত ছিলাম এবং ওনার অনেক ছাইপাঁশ গিলেছি। কিনতু বলতে হবে রুহান রুহান অসাধারণ একটা বই। আমি অনেক সাই-ফাই পড়েছি, কিনতু এটা বেষ্ট। জানি না এটা ওনার মৌলিক লেখা কিনা, কিনতু চাইলে বইটা সংগ্রহে রাখা যায়।",1
অসাধারণ লেখনী,1
অনেক ভালো বই আমি মনে করি এই বই টা সাবার কাছে থাকা উচিত।,1
এই বইটা মানুষের জিবনকে অন্ধকার থেকে আলোতে নিয়ে আসতে পারে,1
অসাধারণ একটি বই।,1
খুব ভালো একটা বই,1
"বাংলা ভাষায় এরকম একটা বই খুবই দরকার ছিল, লস্ট মডেস্টি টিমের জন্য অনেক অনেক দোয়া আর ভালবাসা",1
আমার দেখা সেরা বই।,1
"সত্যিই অসাধারণ একটি বই! আমাদের জেনারেশন যখন নীল অন্ধকারে ডুবে পরে আছে, সে সময়ে এরকম বই অবশ্যই আমাদেরকে নীল অন্ধকার থেকে বেড়িয়ে আসতে সাহায্য করবে! হে যুবক ভাই, বইটি আপনার জন্যই!",1
"খুবই ভাল একটা বই, সবই এর একবার হলেও পড়া উচিত !!!",1
যুক্তির অসাধারণ সংমিশ্রণে লিখা অতুলনীয় একটি বই,1
"ব্হইটি সহজ, সরল প্রাঞ্জল ভাষায় লেখা। পড়ে মনে হবে, লেখক যেন আগে থেকেই পাঠকের মনের প্রশ্নটি জানেন। ধন্যবাদ লেখক ও প্রকাশককে।",1
"সহজ, সরল প্রাঞ্জল ভাষায় লেখা একটি অসাধারণ বই। বইটি পড়ে মনে হয়েছে লেখক জানেন পাঠকের মনে প্রশ্নটি।",1
চমৎকার একটি বই আউটসোর্সিং শুরু করার জন্য...,1
"অসাধারণ একটা বই । মো: মাহবুবুল হাসান ভাইয়া অনেক ধন্যবাদ এতো সুন্দর করে লিখার জন্য :-) , সুন্দর একটা বই উপহার দেয়ার জন্য । প্রোগ্রামিং এর বেসিক যারা জানে না তাদের জন্য এই বই আবার যারা নতুন করে প্রোগ্রামিং কনটেস্টে অংশগ্রহণ করতে চাই তাদের জন্য এই বইটি খুবই উপকার হবে ।",1
"অসাধারণ বই, বিগিনার টু এডভান্স লেভেলের জন্য ভালো পথ প্রদর্শকের ভুমিকা রাখবে বই টা ।",1
অসাধরন একটা বই,1
"এক কথায় অসাধারন বই.....এমন সব উদাহরণ দিয়ে এমনভাবে বইটি লিখা যা আপনাকে প্রোগ্রামিং মজা নিয়ে শিখতে যথেষ্ট সাহায্য করবে,কেবল বইটি পড়লেই বুঝতে পারবেন প্রোগ্রামিং মানেই মজা",1
সত্যি অসাধারণ এক বই। এত সুন্দর যুক্তি সহকারে নাস্তিকদের প্রশ্নগুলো ডিবাংক করা হয়েছে যা প্রশংসার দাবি রাখে।,1
"অসম্ভব সুন্দর, ভালো, ক্রিয়েটিভ বই। আমি লেখকের দুইটি বইয়েই সংগ্রহ করেছি। প্রোগ্রামিং আসলে কঠিন কিছু না। বইটি পড়ে আমার অনুভূতি হয়েছে। বেশ অনেকদিন যাবৎ টিউটোরিয়াল কালেক্ট করে রেখেছিলাম। কিন্তু এভাবে আসলে হয় না। সবাই যদি এই বইটি পড়ে যেকোন প্রোগ্রামিং ল্যাঙ্গুয়েজের এর দিকে যান, তাহলে আপনার ফান্ডামেন্টালটা অনেক মজবুত হবে। লেখককে ভবিষ্যতে জাভাস্ক্রিপ্ট ফ্রেমওয়ার্ক নিয়ে একটা বই লিখার জন্য অনুরোধ করব।",1
"অসাধারণ একটি বই । Programming জিনিসটাকে feel করানোর মত একটি বই। আড্ডায় আড্ডায় programming করতে চাইলে ,, এখনি শুরু করে দিন বইটা ।",1
যা চাইতেসিলাম !!! থ্যাংক ইউ ভাই। অনেক সুন্দর করে বুজানো হয়েসে। আমরা যারা প্রগাম কে ভয় পাই তাদের জন্য পারফেক্ট একটা বই।,1
সত্যিই বইটা অসাধারণ। নতুন প্রোগ্রামারদের জন্য অনেক সহায়াক হবে বইটা। অার সত্যিই রকমারির সার্ভিস অসাধারন। অর্ডার করার পরের দিনই বইটা হাতে পাই।,1
খুব দারুণ বই। আমার মত লাস্ট বেঞ্চের লাস্ট স্টুডেন্টদের খুবই কাজে আসবে। যারা আমার মত কষ্ট করেও বইয়ের গাদা গাদা পড়া বুঝতে পারেনা তারদের জন্য খুব দরকার বইটা। ধন্যবাদ বলদ কমিটির চেয়ারম্যানকে বইটার জন্য।,1
"এক কথায় অসাধারন বই.....অসম্ভব সুন্দর, ভালো, ক্রিয়েটিভ বই।",1
অসাধারন একটি বই। বাংলায় প্রোগ্রামিংয়ের বই এতো সহজ করে লিখা আর কোন একটি আছে কিনা আমার জানা নেই। যারা প্রোগ্রামিংয়ে আগ্রহী তাদের জন্য বইটি অত্যান্ত সহায়ক হবে বলে মনে করি।,1
আউটসোর্সিং কাজ করার জন্য বইটি খুব ই সহায়ক . অনেক গুরত্বপূর্ণ একটা বই . বইতে যে সব বিষয় গুলো সম্পর্কে আলোচনা করা হয়াছে সেই সব কাজ গুলো শিখতে পারলে অবশ্যই ভালো করা যাবে . লেখক কে ধন্যবাদ এইরকম একটা বই পাঠক দের উপহার দেবার জন্য .,1
জাভা প্রোগ্রামিং বইটা খুবই ভালো। ধন্যবাদ ভাইয়া এই রকম সুন্দর লেখার জন্য,1
জাভা শিখতে আগ্রহীদের অবশ্যই পড়া উচিত। জাভার জন্য আমার দেখা সবচেয়ে ভালো বাংলা বই। বিষয়বস্তুর সহজ উপস্থাপন ও উদাহরণগুলো আমার খুবই ভালো লেগেছে। আসলে আমি জাভার প্রেমে পড়েছি এই বই পড়েই।,1
মাশাআল্লাহ...... পয়সা উশুল :) অনেক সুন্দর ও তথ্য বহুল বই।,1
বেস্ট জাভা শিখার বই। সিরিয়াসলি!! প্রত্যেকটি বিষয় ছোট থেকে বড় সবকিছুই পানির মত সোজা করে বুঝানো হয়েছে । সত্যি বলতে জাভা যে এতো আনন্দের মধ্যে শিখব তা ভাবতেও পারি নাই । আগে অনেকবার জাভা শিখার কথা ভাবলেও উলোট পালোট করে আগোছালো বই পড়ে কঠিন মনে করে সরে এসেছি। এই বইটা কিনে আলহামদুলিল্লাহ্‌ সম্পূর্ণ টাকা উসুল হইসে। ধন্যবাদ ভাই এমন একটি বই লিখার জন্য।,1
খুব ভাল বই লেখকের উপস্থপনা বেশ চমৎকার।,1
অসাধারণ একটা বই। কম্পিউটার প্রোগ্রামিং প্রথম খন্ড যেমন আমাদের প্রোগ্রামিং এর দুনিয়ায় আসার আগ্রহ তৈরি করেছে এই বইটা আমাদের আগ্রহ অবিরত রাখবে।,1
"অসাধারন একিট বই ""পাইথন দিয়ে প্রোগ্রামিং শেখা"" বিশেষ করে অামার জন্য বইটি অনেক উপকারে এসেছে , যত পড়ছি যত চর্চা করছি প্রোগ্রামিং-এর অাগ্রহ তত বাড়ছে । ধন্যবাদ তামিম শাহরিয়ার (সুবিন) ভাইকে এত সহজ করে বাংলা ভাষায় ""পাইথন দিয়ে প্রোগ্রামিং শেখা"" বইটি লেখার জন্য ।",1
অনেক সুন্দর এবং সাজানো একটি বই।এক কথায় অসাধারন।,1
"অসাধারণ বই, এত খুঁটিনাটি সহ সহজে ব্যাখ্যা করা, সিরিয়াসলি এই বই এর বিকল্প হয় না।",1
"যারা সি প্রোগ্রামিং - এ নতুন তাদের জন্য এই বইটি উপযোগী। বইটি পড়ার পর আমার ব্যক্তিগত মতামত... ""প্রোগ্রামিং শুরু করার জন্য ফয়সাল স্যার - এর সহজে শিখি সি প্রোগ্রামিং - বইটির কোন বিকল্প নেই""। বুয়েটে ভর্তির পর আমার প্রোগ্রামিং এ হাতে খড়ি বুয়েটের প্রিয় ফয়সাল ভাইয়ের এই বইটি দিয়েই শুরু করলাম। নতুন যেকোন কেউ বইটি থেকে উপকৃত হবে।",1
বইটা সত্যি খুব ভাল একটা বই। সি প্রোগ্রামিং শেখা শুরু করার জন্য এটা খুব উপকারে আসবে।,1
এটা খুব চমৎকার বই,1
সময়ের সেরা বই।,1
অসাধারণ একটা বই। 'সহজে শিখি সি প্রোগ্রামিং' বইটি একাদশ ও দ্বাদশ শ্রেণির শিক্ষার্থীদের ICT বিষয়ে সহায়তা প্রদান করবে বলে আমি মনে করি। প্রোগ্রামিং এর মৌলিক ধারণা অনেক সহজে ও ব্যাখ্যার সাহায্যে খুব চমৎকারভাবে বোঝানো হয়েছে এই বইটিতে। প্রোগ্রামিং এর প্রাথমিক পর্যায়ে যারা আছে তাদের বোঝার জন্য উৎকৃষ্ট একটা বই 'সহজে শিখি সি প্রোগ্রামিং' । :),1
"সি প্রোগ্রামিং শেখার জন্য বাংলা ভাষায় লেখা দারুন একটি বই, উনার ম্যাটল্যাব বইটিও ভালো লাগছে।",1
"অয়াধারণ বই সি প্রোগ্রামিং শেখার জন্য, আমার মতে অন্যান্য বই পড়ে এতো ক্লিয়ার ধারণা পাওয়া সম্ভব নয়। এতো সহজে বোঝানো হয়েছে বইটিতে। আমার প্রোগ্রামিং শেখায় বইটি অনেক সহায়তা অরেছে। ও নতুন্দের বলছি, প্রোগ্রামিং শেখার জন্য এই বইটি দিয়েই শুরু করুন। - শাহরিয়ার বুয়েট' ১৩",1
"বইটা পড়তে খুব ভালো লেগেছে, অনেক সহজ ব্যাখ্যা থাকায় সি প্রোগ্রামিং শেখার জন্য উপযুক্ত বই। অন্যান্য বই গুলো থেকে অনেক ভালো, ধন্যবাদ লেখককে, আরো কিছু বই লিখুন।",1
প্রোগ্রামিং শিখার জন্য সেরা একটি বই। আমার অনেক পছন্দের একটা বই এটা। আমি এবং আমার ফ্রেন্ডরা সবাই এটা দিয়েই সি শিখছি।,1
এই বইটি পড়তে পেরে আমি খুব আনন্দিত । রকমারির সার্ভিস অনেক ভাল । C দিয়ে প্রোগ্রামিং শুরু করার জন্য অনেক ভাল একটি বই । ধন্যবাদ জানাই মোঃ কামরুজ্জামান নিটন ভাইকে,1
অসাধারণ বই। ওয়ার্ডপ্রেস শিখার জন্য দারুন একটি বই।,1
এই সময় এর খুবই উপযোগী বই এটি। এই বই থেকে আমি আউটসোরসিং এর বেপারে পূর্ণ ধারনা পেয়েসি।,1
সব মিলিয়ে অনেক সূন্দর একটা বই,1
